# Sedes municipais p/ camada 'Cidades' — gerado por tools/gera_cidades_ibge.py
# Fontes: IBGE (coordenadas/capital + agregado 6579). Corte: pop>=12000
nome,uf,lat,lon,populacao,capital
Santa Rita de Cássia,BA,-11.0063,-44.5255,28890,0
Nazaré,BA,-13.0235,-39.0108,28427,0
Coração de Maria,BA,-12.2333,-38.7487,28408,0
Paripiranga,BA,-10.6859,-37.8626,27860,0
Barra da Estiva,BA,-13.6237,-41.3347,27743,0
Ibotirama,BA,-12.1779,-43.2167,27723,0
Formosa do Rio Preto,BA,-11.0328,-45.193,27567,0
Queimadas,BA,-10.9736,-39.6293,27429,0
Sobradinho,BA,-9.4502,-40.8145,27097,0
Lapão,BA,-11.3851,-41.8286,27014,0
Ibirapitanga,BA,-14.1649,-39.3787,26917,0
Anagé,BA,-14.6151,-41.1356,26745,0
Cândido Sales,BA,-15.4993,-41.2414,26469,0
Quijingue,BA,-10.7505,-39.2137,26443,0
João Dourado,BA,-11.3486,-41.6548,25892,0
Maraú,BA,-14.1035,-39.0137,25804,0
Alcobaça,BA,-17.5195,-39.2036,25601,0
Wenceslau Guimarães,BA,-13.6908,-39.4762,25535,0
Santana,BA,-12.9792,-44.0506,25521,0
Castro Alves,BA,-12.7579,-39.4248,25470,0
Uauá,BA,-9.8332,-39.4794,25449,0
Iaçu,BA,-12.7666,-40.2056,25315,0
Miguel Calmon,BA,-11.4299,-40.6031,25263,0
Valente,BA,-11.4062,-39.457,25132,0
Itambé,BA,-15.2429,-40.63,25088,0
Canarana,BA,-11.6858,-41.7677,25007,0
Nova Soure,BA,-11.2329,-38.4871,24865,0
Iraquara,BA,-12.2429,-41.6155,24833,0
Amélia Rodrigues,BA,-12.3914,-38.7563,24830,0
Conde,BA,-11.8179,-37.6131,24460,0
Planalto,BA,-14.6654,-40.4718,24026,0
Caculé,BA,-14.5003,-42.2229,23293,0
Olindina,BA,-11.3497,-38.3379,22956,0
Medeiros Neto,BA,-17.3707,-40.2238,22801,0
Macarani,BA,-15.5646,-40.4209,22768,0
Camacan,BA,-15.4142,-39.4919,22485,0
Riachão das Neves,BA,-11.7508,-44.9143,22329,0
Uruçuca,BA,-14.5963,-39.2851,22155,0
Ituberá,BA,-13.7249,-39.1481,22154,0
Ibicaraí,BA,-14.8579,-39.5914,22131,0
Ibicoara,BA,-13.4059,-41.284,21827,0
Teofilândia,BA,-11.4827,-38.9913,21825,0
Santa Bárbara,BA,-11.9515,-38.9681,21787,0
Tanhaçu,BA,-14.0197,-41.2473,21787,0
Iguaí,BA,-14.7528,-40.0894,21763,0
Laje,BA,-13.1673,-39.4213,21705,0
Conceição da Feira,BA,-12.5078,-38.9978,21529,0
Caravelas,BA,-17.7268,-39.2597,21384,0
Governador Mangabeira,BA,-12.5994,-39.0412,21353,0
Oliveira dos Brejinhos,BA,-12.3132,-42.8969,21323,0
Paramirim,BA,-13.4388,-42.2395,21025,0
Piatã,BA,-13.1465,-41.7702,20938,0
São Felipe,BA,-12.8394,-39.0893,20923,0
Palmas de Monte Alto,BA,-14.2676,-43.1609,20666,0
Mutuípe,BA,-13.2284,-39.5044,20590,0
Belmonte,BA,-15.8608,-38.8758,20527,0
Itaparica,BA,-12.8932,-38.68,20353,0
Crisópolis,BA,-11.5059,-38.1515,20346,0
Buritirama,BA,-10.7171,-43.6302,20221,0
Ourolândia,BA,-10.9578,-41.0756,20141,0
Rafael Jambeiro,BA,-12.4053,-39.5007,20081,0
Cocos,BA,-14.1814,-44.5352,19865,0
Boquira,BA,-12.8205,-42.7324,19782,0
Nordestina,BA,-10.8192,-39.4297,19711,0
Pindobaçu,BA,-10.7433,-40.3675,19601,0
Encruzilhada,BA,-15.5302,-40.9124,19450,0
Guaratinga,BA,-16.5833,-39.7847,19413,0
Ibirataia,BA,-14.0643,-39.6459,19377,0
São Gabriel,BA,-11.2175,-41.8843,19229,0
Madre de Deus,BA,-12.7446,-38.6153,19224,0
Itajuípe,BA,-14.6788,-39.3698,19191,0
Ubaíra,BA,-13.2714,-39.666,19142,0
Belo Campo,BA,-15.0334,-41.2652,19074,0
Ponto Novo,BA,-10.8653,-40.1311,18763,0
Serra Preta,BA,-12.156,-39.3305,18754,0
Sapeaçu,BA,-12.7208,-39.1824,18656,0
Filadélfia,BA,-10.7405,-40.1437,18637,0
Baixa Grande,BA,-11.9519,-40.169,18628,0
Cairu,BA,-13.4904,-39.0465,18578,0
Taperoá,BA,-13.5321,-39.1009,18556,0
Ituaçu,BA,-13.8107,-41.3003,18506,0
Fátima,BA,-10.616,-38.2239,18480,0
Jaguaripe,BA,-13.1109,-38.8939,18349,0
Abaré,BA,-8.7207,-39.1162,18269,0
Una,BA,-15.2791,-39.0765,18254,0
Itanhém,BA,-17.1642,-40.3321,18203,0
Mairi,BA,-11.7107,-40.1437,18130,0
Cafarnaum,BA,-11.6914,-41.4688,18057,0
Ubaitaba,BA,-14.303,-39.3222,17878,0
Cipó,BA,-11.1032,-38.5179,17875,0
Tanque Novo,BA,-13.5485,-42.4934,17812,0
Souto Soares,BA,-12.088,-41.6427,17724,0
Piritiba,BA,-11.73,-40.5587,17697,0
Coronel João Sá,BA,-10.2847,-37.9198,17598,0
Serra Dourada,BA,-12.759,-43.9504,17574,0
Condeúba,BA,-14.9022,-41.9718,17567,0
Coaraci,BA,-14.637,-39.5556,17557,0
Ibititá,BA,-11.5414,-41.9748,17517,0
Itarantim,BA,-15.6528,-40.065,17485,0
Boa Vista do Tupim,BA,-12.6498,-40.6064,17262,0
Mundo Novo,BA,-11.8541,-40.4714,17197,0
Ibipeba,BA,-11.6438,-42.0195,17134,0
Cabaceiras do Paraguaçu,BA,-12.5317,-39.1902,17024,0
Jussara,BA,-11.0431,-41.9702,17007,0
Itororó,BA,-15.11,-40.0684,16849,0
Central,BA,-11.1376,-42.1116,16847,0
Canudos,BA,-9.9001,-39.1471,16693,0
Tremedal,BA,-14.9736,-41.4142,16646,0
Utinga,BA,-12.0783,-41.0954,16645,0
Sátiro Dias,BA,-11.5929,-38.5938,16476,0
Itatim,BA,-12.7099,-39.6952,16454,0
Bonito,BA,-11.9668,-41.2647,16425,0
Aporá,BA,-11.6577,-38.0814,16361,0
Tapiramutá,BA,-11.8475,-40.7927,16226,0
Mirangaba,BA,-10.961,-40.574,16167,0
Conceição do Almeida,BA,-12.7836,-39.1715,16134,0
Glória,BA,-9.3438,-38.2544,16107,0
Igaporã,BA,-13.774,-42.7155,16069,0
Teolândia,BA,-13.5896,-39.484,15978,0
Ubatã,BA,-14.2063,-39.5207,15839,0
Malhada,BA,-14.3371,-43.7686,15814,0
Itagibá,BA,-14.2782,-39.8449,15796,0
Barrocas,BA,-11.5272,-39.0776,15780,0
São Félix do Coribe,BA,-13.4019,-44.1837,15780,0
Urandi,BA,-14.7678,-42.6498,15776,0
Presidente Dutra,BA,-11.2923,-41.9843,15677,0
Salinas da Margarida,BA,-12.873,-38.7562,15629,0
Biritinga,BA,-11.6072,-38.8051,15603,0
América Dourada,BA,-11.4429,-41.439,15572,0
Andorinha,BA,-10.3482,-39.8391,15491,0
Santa Brígida,BA,-9.7323,-38.1209,15417,0
Pindaí,BA,-14.4921,-42.686,15125,0
Ibitiara,BA,-12.6502,-42.2179,15049,0
Antas,BA,-10.3856,-38.3401,14984,0
Buerarema,BA,-14.9595,-39.3028,14950,0
Jacaraci,BA,-14.8541,-42.4329,14910,0
Água Fria,BA,-11.8618,-38.7639,14833,0
Jitaúna,BA,-14.0131,-39.8969,14824,0
Lagoa Real,BA,-14.0334,-42.1328,14550,0
Cristópolis,BA,-12.2249,-44.4214,14549,0
Mansidão,BA,-10.7227,-44.0428,14542,0
Ribeira do Amparo,BA,-11.0421,-38.4242,14528,0
Adustina,BA,-10.5437,-38.1113,14510,0
Coribe,BA,-13.8232,-44.4586,14463,0
Aracatu,BA,-14.428,-41.4648,14440,0
Sítio do Quinto,BA,-10.3545,-38.2213,14435,0
Santa Luzia,BA,-15.4342,-39.3287,14392,0
Barra do Mendes,BA,-11.81,-42.059,14376,0
Itagi,BA,-14.1615,-40.0131,14347,0
Ibipitanga,BA,-12.8804,-42.4856,14317,0
Várzea da Roça,BA,-11.6005,-40.1328,14294,0
Manoel Vitorino,BA,-14.1476,-40.2399,14287,0
Ibicuí,BA,-14.845,-39.9879,14264,0
Pedro Alexandre,BA,-10.012,-37.8932,14226,0
Acajutiba,BA,-11.6575,-38.0197,14200,0
Angical,BA,-12.0063,-44.7003,14178,0
Retirolândia,BA,-11.4832,-39.4234,14174,0
Baianópolis,BA,-12.3016,-44.5388,14138,0
Boninal,BA,-12.7069,-41.8286,14125,0
Jiquiriçá,BA,-13.2621,-39.5737,14063,0
Ipecaetá,BA,-12.3028,-39.3069,14016,0
Boa Nova,BA,-14.3598,-40.2064,14008,0
Sítio do Mato,BA,-13.0801,-43.4689,13982,0
Nova Canaã,BA,-14.7912,-40.1458,13970,0
Barro Alto,BA,-11.7605,-41.9054,13922,0
Mascote,BA,-15.5542,-39.3016,13918,0
Uibaí,BA,-11.3394,-42.1354,13886,0
Várzea Nova,BA,-11.2557,-40.9432,13866,0
Serrolândia,BA,-11.4085,-40.2983,13863,0
Umburanas,BA,-10.7339,-41.3234,13785,0
Itaeté,BA,-12.9831,-40.9677,13775,0
Pé de Serra,BA,-11.8313,-39.611,13677,0
Mulungu do Morro,BA,-11.9648,-41.6374,13648,0
Rio de Contas,BA,-13.5852,-41.8048,13634,0
Caldeirão Grande,BA,-11.0208,-40.2956,13597,0
Andaraí,BA,-12.8049,-41.3297,13545,0
Igrapiúna,BA,-13.8295,-39.1361,13501,0
Rio do Antônio,BA,-14.4071,-42.0721,13495,0
Cotegipe,BA,-12.0228,-44.2566,13463,0
Wanderley,BA,-12.1144,-43.8958,13460,0
Candiba,BA,-14.4097,-42.8667,13417,0
Brejões,BA,-13.1039,-39.7988,13224,0
Heliópolis,BA,-10.6825,-38.2907,13055,0
Presidente Jânio Quadros,BA,-14.6885,-41.6798,12963,0
Mucugê,BA,-13.0053,-41.3703,12712,0
Itaguaçu da Bahia,BA,-11.0147,-42.3997,12669,0
Nilo Peçanha,BA,-13.604,-39.1091,12399,0
Tabocas do Brejo Velho,BA,-12.7026,-44.0075,12368,0
Dom Basílio,BA,-13.7565,-41.7677,12329,0
Banzaê,BA,-10.5788,-38.6212,12288,0
Licínio de Almeida,BA,-14.6842,-42.5095,12202,0
Brotas de Macaúbas,BA,-11.9915,-42.6326,12180,0
Fortaleza,CE,-3.7166,-38.5423,2578483,1
Caucaia,CE,-3.728,-38.6619,378406,0
Juazeiro do Norte,CE,-7.1962,-39.3076,305531,0
Maracanaú,CE,-3.867,-38.6259,251613,0
Sobral,CE,-3.6891,-40.3482,216519,0
Crato,CE,-7.2153,-39.4103,139027,0
Itapipoca,CE,-3.4993,-39.5836,138978,0
